"","X_pitch","Y_pitch","X_acc","Y_acc","X_vel","Y_vel","index","performer","performance"
"415",-0.293367292471801,-0.567506735766457,0.076718949988166,0.00275697806035637,-0.00209046511870367,0.0534656146095375,"788","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"416",-0.753622493853433,-0.699976083290292,0.106922226746047,-0.0120692741077404,0.157578037280132,0.0437864900163557,"789","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"417",-0.747962750056066,-0.271560053149554,0.0816239034295804,0.00611997470974584,0.229316161209046,0.0298764963300317,"790","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"418",-0.34672819814101,-0.827873011644143,0.10139400826768,0.0219060410542687,0.136257150541405,0.0291030998296883,"791","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"419",0.822304786442125,-0.403794115650335,0.108473473748912,-0.0317935730033948,0.0881085912861817,0.040833869651684,"792","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"420",0.485352552914452,-0.530039709617125,0.0233479471660433,0.00860386550668392,-0.0664489447146736,-0.00533863850943662,"793","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"421",-1.22452052018695,0.449515574126969,0.0960060243557622,0.0141332218884994,0.198502640741763,0.0432581606923063,"794","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"422",1.29958727822234,0.524392880564688,0.0817975308230593,-0.000875691481218433,0.142960354936161,0.0941291207311066,"798","performer 3","2018_11_18_am_Sec_4_P1_Kalyani_slates"
"423",0.329113586192637,0.0131305701504136,-0.0870830008312799,0.00694540502026996,-0.2125814262014,0.0962559876281417,"823","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"424",1.0132114220573,-0.0448898533596764,-0.0656010996976831,-0.0319117211403801,-0.281434156356086,0.128304181127203,"824","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"425",-0.913279697691058,-0.442452141027877,-0.034904923485873,0.00352771921569416,-0.123102999999783,0.0379531890786077,"825","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"426",1.06549268640729,-0.0756654450824789,-0.113787245045178,0.0283086012897543,-0.0840124406499125,0.0193482328178579,"826","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"427",1.20164903764445,0.429181763720981,-0.040650402607746,-0.000625627779396201,-0.095431222296766,0.0270972757613657,"827","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"428",-0.687251283603881,0.146262461149307,-0.0174022487198743,-0.0332233716933816,-0.118120003599719,-0.00313331367186648,"828","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"429",1.27073421092152,0.459502474260807,-0.0176879321217578,-0.000748301436354619,-0.174612545022813,-0.0156994038255382,"829","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"430",-0.801177925847632,0.205569457473581,-0.0155532897488933,0.0153297455619699,-0.0683867039619594,-0.00988622145463412,"830","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"431",0.4540515396918,-0.193761009943136,-0.112114595876248,0.199751782652342,-0.105045955139933,0.00151984520697536,"831","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"432",0.901862056303236,-0.0188362682529224,0.00552927583806875,-0.0189235707216424,-0.0973520871784524,-0.0278041123344171,"832","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"433",1.21878193906021,0.668074874911972,-0.0287122894492708,0.0393702252189523,-0.057470541612241,-0.0189978509466844,"833","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"434",-0.95434212304553,-0.228849236085285,-0.0248293982750321,0.0185102022336762,-0.159902663368776,-0.00652998045351073,"834","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"435",0.395290501738762,0.203297832619088,-0.0909017809915124,-0.134961148096448,-0.0319328188183197,-0.0460085801343804,"835","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"436",0.468153482698085,0.276295754040161,0.0522042956720817,-0.000564412426509305,0.00759283053190338,-0.0764628465162124,"836","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"437",-1.2372360796974,0.772590368131268,0.09756308123019,0.0141449756351639,0.0244406310493495,0.00950186425405857,"838","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"438",-1.23421538806571,0.839289613601176,0.00361318692922645,-0.00202147585903186,-0.105933951410338,-0.12601200192319,"839","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"439",-0.0069648920734958,-0.646439308131877,-0.0927030744370826,-0.0783795720179709,-0.0172047566226836,-0.040412555186852,"840","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"440",1.11502805714907,0.308264317217444,-0.116821962864876,0.216837033449558,0.0258409979863228,-0.0683768373749834,"842","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"441",0.0147305720372975,-0.63794360899005,0.044486282215037,0.0167225871342276,0.0379174077678802,-0.0709717453753798,"844","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"442",0.706399286321734,0.0624881845470097,0.0677389367759548,0.0185643333017996,-0.0261557081803102,-0.0666567392406082,"845","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"443",0.707005207079299,0.109649970980948,-0.182333358715459,0.179317416974786,0.00889772226806702,-0.0446755774866501,"846","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"444",-1.19505774846079,-0.136162703786103,0.0730881002143526,0.0220931870162056,-0.0961987631239083,-0.00794525258590674,"847","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"445",-0.860069708229481,-0.249479039373106,-0.0144454054240555,-0.130622095870716,-0.0639912966985907,-0.019876777313632,"848","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"446",0.26270579003984,-0.281648188466575,0.0351876851077133,0.120341943352174,0.0401294097409365,-0.0809546953035229,"849","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"447",1.18326470135184,0.143171887188978,0.0134782006602464,0.153059744374031,-0.0104305231647212,-0.0638783467008487,"850","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"448",1.035155103646,0.34340243652805,0.0533348332561516,-0.0266692955105988,-0.118015961695335,-0.0744823499433932,"851","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"449",-1.01196108754944,1.21721367976571,0.0844490115767716,-0.00503065401884488,-0.0353665093777497,-0.0816269838712802,"852","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"450",0.986536666118118,0.180213417548195,-0.145423988508067,0.018737291751464,-0.00355130707483736,-0.0389136626778725,"853","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"451",-1.2176608155566,0.956912500423384,-0.0678456717899687,0.0918114455314279,0.0602456982033741,-0.0782032649133914,"854","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"452",-1.12805744215993,0.948297101557122,0.0873898934467097,0.0640112360945512,0.0473067663136859,-0.0723808530645444,"855","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"453",0.916481172497939,-0.344098788396469,0.0807793067910251,-0.0213190288225265,0.0738087450211218,-0.080579758083234,"856","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"454",-0.909074478359255,-0.233472599740059,-0.0288778601586605,0.0698597962165657,0.000392224993876442,-0.0668451215262351,"857","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"455",-0.661185342051377,-0.343635255263332,0.068847999864356,-0.00357919697595584,0.109463511625868,-0.138068890421135,"858","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"456",-1.15579130715465,0.81699149039472,-0.015816306390665,0.0418154924222322,0.0184484666911777,-0.0408855844801628,"859","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"457",-1.10558578797946,1.13388496798359,0.0103251645420152,-0.0127069660739156,-0.101401379572582,-0.0376241339363827,"860","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"458",0.728252419595065,-0.54508415499056,0.0749681383977153,-0.015956310054033,0.0360514827861188,-0.0729413050401741,"861","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"459",0.754861109311717,-0.548543050361266,0.0580060433588519,0.00910796031417658,-0.0827381244479946,-0.00340091864477641,"862","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"460",1.12180155306596,0.23114286805066,0.0645971465622795,0.0279625582836801,0.0107958499628088,-0.123495595117787,"863","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"461",-1.212496776364,0.0197706934771489,-0.121868856957724,0.167870061256954,0.0482077576363089,-0.0375143988675766,"864","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"462",-0.88940919096468,-0.364587051619219,0.0664970248490683,-0.053237428173389,0.0469283295316838,-0.113450732267707,"865","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"463",1.2282294523219,0.622380014336212,0.0878076027790871,-0.0104366861896561,0.0452863622781153,-0.0192625089243572,"867","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"464",-0.842869409862964,-0.359493309857634,-0.025047026539084,-0.00185608683330529,-0.185192026867723,-0.0942264137361407,"868","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"465",1.20699015888208,0.265855835643928,-0.0153165063074577,0.290357008074212,-0.0531277439148631,0.0111380394214766,"869","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"466",-1.0946874851912,1.13598449485985,0.00510241757860382,0.206056561535694,0.200621337832842,0.045164167187864,"870","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"467",-1.14777159626105,0.115489059857107,-0.244780350684781,-0.209289529117193,0.0436957538939142,0.0320799282358888,"871","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"468",0.581286114941436,-0.641378301951108,-0.0130338155464444,-0.0697044632155451,0.0159369653857028,0.00899282838398499,"872","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"469",0.850782974905845,-0.0394271222844478,0.112935352032925,0.0470850942966427,0.103932438177965,0.0259564077055803,"873","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"470",0.070209525913707,-0.333035008294959,0.0795500948710669,-0.0149715311648613,0.0254021572926395,0.0428394029774602,"874","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"471",-0.491178191645069,-0.320001022939658,0.0618897359913477,0.0316677447529315,0.0544983009944704,0.0215960237877152,"875","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"472",-1.09605555880606,0.894127759117744,0.143042357458377,0.0287131891967727,0.15982817532356,0.0359217610863216,"876","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"473",-1.21119735246508,0.701602382170444,0.0754401318934135,0.00443529923401452,0.137377215552711,0.0752258182753421,"877","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"474",-1.17199085601041,-0.105932096320589,0.0936600909217721,-0.0576298263783017,0.00724598689303578,0.0261099272227817,"878","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"475",-1.11128769402689,0.00403908660861679,-0.273064656503518,-0.108906281426696,0.117412687688587,0.0435360633690798,"879","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"476",-0.0601265638012576,-0.0751850803682982,0.117560046982346,0.0160049061126287,0.0202889456770954,0.0419531147963192,"880","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
"477",1.1112330416972,-0.000830090424340652,0.0934410925268721,0.00216109006246988,0.0968997679213662,0.0512512227959911,"881","performer 3","2018_11_18_am_Sec_5_P1_Bhairavi_slates"
